353,64.85,89.3,98.77,86.09,,,,,,,
354,65.32,89.4,98.56,86.66,,,,,,,
355,65.67,89.06,98.99,85.36,,,,,,,
356,66.03,89.81,97.84,87.7,,,,,,,
357,66.2,89.52,98.16,86.9,,,,,,,
358,66.44,89.8,98.76,85.27,,,,,,,
359,66.61,90.02,97.27,86.25,,,,,,,
360,66.98,90.67,97.62,86.09,,,,,,,
361,67.13,90.41,98.31,85.84,,,,,,,
362,67.3,90.22,99.38,86.74,,,,,,,
363,67.27,90.09,97.21,86.3,,,,,,,
364,67.6,90.33,98.07,87.07,,,,,,,
365,67.63,90.43,97.45,88.29,,,,,,,
366,68.05,90.54,98.4,88.39,,,,,,,
367,68.45,90.27,96.98,89.46,,,,,,,
368,68.54,90.88,97.26,90.66,,,,,,,
369,68.82,91.25,98.26,89.81,,,,,,,
370,68.78,91.91,96.12,90.67,,,,,,,
371,68.74,91.94,97.82,91.49,,,,,,,
372,69.33,91.41,97.53,90.7,,,,,,,
373,69.33,92,97,91.22,,,,,,,
374,69.74,91.33,97.1,90.91,,,,,,,
375,69.87,91.21,99.05,90.72,,,,,,,
376,70.05,91.12,97.32,88.01,,,,,,,
377,69.94,91.28,97.05,89.27,,,,,,,
378,70.46,91,98.46,88.59,,,,,,,
379,70.46,91.12,98.62,87.45,,,,,,,
380,70.73,91.19,98.7,87.82,,,,,,,
381,70.93,91.17,97.11,88.09,,,,,,,
382,70.77,91.03,98.39,87.56,,,,,,,
383,71.03,91,96.36,87.81,,,,,,,
384,71.21,91.5,96.05,87.99,,,,,,,
385,71.62,91.29,97.18,87.51,,,,,,,
386,71.88,91.37,97.51,87.28,,,,,,,
387,71.28,91.34,97.97,90.5,,,,,,,
388,72.08,91.51,98.83,88.24,,,,,,,
389,72.1,91.36,98.35,87.77,,,,,,,
390,72.55,91.8,97.21,87.65,,,,,,,
391,72.68,91.56,98.6,88.27,,,,,,,
392,72.93,91.59,98.06,88.01,,,,,,,
393,72.8,91.62,97.82,88.11,,,,,,,
394,72.79,91.66,98.85,87.28,,,,,,,
395,73.49,91.37,97.91,87.83,,,,,,,
396,73.3,91.23,97.77,87.78,,,,,,,
397,73.25,91.52,97.79,88.22,,,,,,,
398,73.64,91.47,97.27,87.64,,,,,,,
399,73.31,91.53,97.09,87.74,,,,,,,
400,73.25,91.4,97.93,88.68,,,,,,,
401,73.43,91.35,97.28,89.64,,,,,,,
402,73.51,91.26,97.28,88.32,,,,,,,
403,73.72,91.71,97.96,89.31,,,,,,,
404,73.79,91.42,98.11,88.99,,,,,,,
405,73.97,91.22,98,89.39,,,,,,,
406,74.21,91.66,96.37,89.18,,,,,,,
407,74.72,91.63,98.82,89.06,,,,,,,
408,74.7,91.76,97.3,89.93,,,,,,,
409,74.81,91.59,98.87,90.96,,,,,,,
410,74.72,91.77,96.99,89.4,,,,,,,
411,74.85,91.58,97.51,88.47,,,,,,,
412,74.78,91.97,97.19,89.93,,,,,,,
413,74.8,91.72,97.45,89.52,,,,,,,
414,75.3,90.97,97.23,88.81,,,,,,,
415,75.53,91.37,98.13,88.03,,,,,,,
416,75.48,91.63,98.2,89.49,,,,,,,
417,75.57,91.45,98.41,88.33,,,,,,,
418,75.75,91.58,99.46,88.8,,,,,,,
419,75.42,91.78,98.97,88.32,,,,,,,
420,75.64,91.88,98.84,89.47,,,,,,,
421,76.06,91.2,97.41,89.53,,,,,,,
422,75.92,91.71,97.62,89.35,,,,,,,
423,76.16,91.85,98.77,90.39,,,,,,,
424,76.41,91.43,98.67,91.59,,,,,,,
425,76.56,91.64,96.95,91.29,,,,,,,
426,76.54,91.41,99.31,90.57,,,,,,,
427,76.66,91.5,97.85,89.5,,,,,,,
428,76.9,91.68,98.53,88.6,,,,,,,
429,76.62,91.7,97.79,88.26,,,,,,,
430,76.41,92.01,98.87,89.8,,,,,,,
431,77.03,91.86,98.52,89.31,,,,,,,
432,76.83,92.12,99.57,91.04,,,,,,,
433,77.25,92.1,96.33,91.52,,,,,,,
434,77.44,91.78,97.93,90.54,,,,,,,
435,77.55,91.67,96.61,89.78,,,,,,,
436,77.6,91.79,98.74,91.43,,,,,,,
437,77.58,91.65,96.66,90.97,,,,,,,
438,77.82,91.74,98.49,91.1,,,,,,,
439,78.02,91.73,98.68,91.55,,,,,,,
440,77.84,92.08,97.04,92.22,,,,,,,
441,77.53,91.73,98.31,91.58,,,,,,,
442,77.91,91.55,97.97,92.23,,,,,,,
443,78,91.92,97.56,91.77,,,,,,,
